method,distance,time_mean,time_sd
Old,1,0.0017000000000000001,4.8304589153964797e-4
New,1,4e-4,5.163977794943222e-4
New (10 cores),1,2e-4,4.2163702135578394e-4
Old,2,0.0026001,5.164839354283496e-4
New,2,4.998e-4,5.268355847257599e-4
New (10 cores),2,2e-4,4.2163702135578394e-4
Old,3,0.0037004,6.751462722172796e-4
New,3,5e-4,5.270462766947299e-4
New (10 cores),3,4e-4,5.163977794943222e-4
Old,4,0.0057009,4.8320698348522335e-4
New,4,0.0017000000000000001,4.8304589153964797e-4
New (10 cores),4,2e-4,4.2163702135578394e-4
Old,5,0.0078011,4.2168984126040074e-4
New,5,0.0022,4.2163702135578394e-4
New (10 cores),5,3.0000000000000003e-4,4.8304589153964797e-4
Old,10,0.0219043,0.0060285121446156
New,10,0.0087016,4.8300016103056896e-4
New (10 cores),10,0.0010999,3.1626305857975607e-4
Old,15,0.0364075,0.0030631503481800505
New,15,0.020204,4.2163702135578426e-4
New (10 cores),15,0.0023001000000000002,4.832069834852233e-4
Old,20,0.0647138,0.005418187618260062
New,20,0.0359077,5.679790782531828e-4
New (10 cores),20,0.0039006,5.679595447251895e-4
Old,25,0.078417,0.001897659435550363
New,25,0.055112,3.162277660168382e-4
New (10 cores),25,0.006001,4.714045207910317e-4
Old,50,0.2889645,0.03424035554154061
New,50,0.2048457,7.890079636268965e-4
New (10 cores),50,0.0232051,0.00209792492451205
Old,100,1.0081268,0.10168603216524442
New,100,0.8304866000000001,0.004218667646438961
New (10 cores),100,0.0967214,0.011655558837834512
Old,150,2.0464609,0.07779072407777446
New,150,1.8810236,0.00397862076045899
New (10 cores),150,0.2113474,0.010437994999040762
Old,200,3.5076903,0.024840367867422913
New,200,3.3525553,0.008338992918812153
New (10 cores),200,0.38678680000000004,0.035057085737408344
Old,250,5.2305789,0.062450170876823634
New,250,5.204273,0.003957693071025493
New (10 cores),250,0.6040361000000001,0.03432460523832238
Old,300,7.5253961,0.038870144556944645
New,300,7.4235734,0.006064769065860939
New (10 cores),300,0.8590932,0.054251219881420364
Old,350,10.24891,0.02995586094758587
New,350,9.4340268,0.013480964693473103
New (10 cores),350,1.1888675,0.157201588694439
Old,400,13.7602019,0.07339477483134904
New,400,11.9401918,0.013949424869068121
New (10 cores),400,1.4600289,0.11687668983016058
Old,450,18.1361885,0.11053938695651545
New,450,14.8935576,0.013598912090474142
New (10 cores),450,1.7570958,0.08444668673034682
Old,500,23.345563300000002,0.11093642715342204
New,500,18.182499,0.009479686152796839
New (10 cores),500,2.2752126,0.15368878527017593
Old,550,30.887363399999998,0.10756685061568828
New,550,21.6451799,0.02580431681564586
New (10 cores),550,2.5861827,0.1559804734011779
Old,600,38.551191599999996,0.23796527433976566
New,600,26.0806799,0.09460199415146224
New (10 cores),600,3.2159246,0.17733449250824151
Old,650,47.1012192,0.7001761465583434
New,650,31.2165379,0.033693064728022616
New (10 cores),650,3.6478219,0.1494996426457639
Old,700,55.727564,0.4735081107990074
New,700,36.8371052,0.053848776003420376
New (10 cores),700,4.3372776,0.19256807664257924
Old,750,64.5606557,0.3880000022230975
New,750,42.9856915,0.06350177410163764
New (10 cores),750,5.071743,0.20592840649766267
Old,800,77.8327483,0.7114233515512809
New,800,49.111572699999996,0.0467514443984827
New (10 cores),800,5.6216673,0.18470238920132506
Old,850,85.1970087,0.49034664706942926
New,850,55.5874328,0.04977392751632072
New (10 cores),850,6.2657121,0.15499797573549157
Old,900,95.7517883,1.0285208083104445
New,900,62.3587595,0.28906393166919825
New (10 cores),900,7.2640373,0.283337262384542
Old,950,108.5640771,1.5193714456943088
New,950,69.2735184,0.049058515962964816
New (10 cores),950,8.0093057,0.25301438482208877
Old,1000,121.2967481,1.2098412684060322
New,1000,76.6495816,0.09661290389222889
New (10 cores),1000,8.7817796,0.1724389347947716
